C:\Users\nagak\AppData\Local\Temp\RenderDoc\sample_app_2026.04.18_05.06.10_frame237.rdc - Frame #237

 EID  | Event                                                             | Action # | Duration (Microseconds)
---------------------------------------------------------------------------------------------------
5362  | - => ExecuteCommandLists(1)[0]: Reset(Baked Command List 10032)   | 1      |
5363  | - => ExecuteCommandLists(1)[0]: Close(Baked Command List 10032)   | 1      |
5365  | - => ExecuteCommandLists(2)[0]: Reset(Baked Command List 10033)   | 1      |
5366  | - DepthPass                                                       | 1-333  | 1438.848
5368  |  \- ClearDepthStencilView(0.00, 0)                                | 1      | 5.728
5381  |   - DrawIndexedInstanced(44832, 1)                                | 2      | 11.488
5391  |   - DrawIndexedInstanced(6900, 1)                                 | 3      | 5.184
5401  |   - DrawIndexedInstanced(8280, 1)                                 | 4      | 3.84
5411  |   - DrawIndexedInstanced(8970, 1)                                 | 5      | 4.896
5421  |   - DrawIndexedInstanced(5520, 1)                                 | 6      | 4.00
5431  |   - DrawIndexedInstanced(4830, 1)                                 | 7      | 4.00
5441  |   - DrawIndexedInstanced(9660, 1)                                 | 8      | 4.416
5451  |   - DrawIndexedInstanced(17316, 1)                                | 9      | 5.728
5461  |   - DrawIndexedInstanced(202404, 1)                               | 10     | 9.728
5471  |   - DrawIndexedInstanced(144, 1)                                  | 11     | 4.256
5481  |   - DrawIndexedInstanced(10947, 1)                                | 12     | 6.528
5491  |   - DrawIndexedInstanced(19296, 1)                                | 13     | 5.216
5501  |   - DrawIndexedInstanced(17112, 1)                                | 14     | 5.60
5511  |   - DrawIndexedInstanced(162, 1)                                  | 15     | 4.576
5521  |   - DrawIndexedInstanced(17580, 1)                                | 16     | 4.736
5531  |   - DrawIndexedInstanced(52659, 1)                                | 17     | 5.824
5541  |   - DrawIndexedInstanced(44988, 1)                                | 18     | 5.728
5551  |   - DrawIndexedInstanced(9522, 1)                                 | 19     | 4.64
5561  |   - DrawIndexedInstanced(2688, 1)                                 | 20     | 4.16
5571  |   - DrawIndexedInstanced(12096, 1)                                | 21     | 2.08
5581  |   - DrawIndexedInstanced(55836, 1)                                | 22     | 8.00
5591  |   - DrawIndexedInstanced(564, 1)                                  | 23     | 3.968
5601  |   - DrawIndexedInstanced(68400, 1)                                | 24     | 6.144
5611  |   - DrawIndexedInstanced(557712, 1)                               | 25     | 20.992
5621  |   - DrawIndexedInstanced(5400, 1)                                 | 26     | 4.448
5631  |   - DrawIndexedInstanced(6384, 1)                                 | 27     | 4.288
5641  |   - DrawIndexedInstanced(864, 1)                                  | 28     | 4.192
